datetime,text,cleanTweet
2023-01-03 13:54:38,b'@gaestrr alam ko gamot jan lambing',alam ko gamot jan lambing
2023-01-03 13:54:38,"b'RT @SuperMeaW90: @jevanadi Itu namanya ngajak bicara alam bawa sadar sndiri gan, biasa utk recall ingetan atau bkin kputusan yg berasal dr\xe2\x80\xa6'",nama ngajak bicara alam bawa sadar sndiri gan biasa utk recall ingetan bkin kputusan asal
2023-01-03 13:54:29,b'Aku macam nampak ada bundle dekat puncak alam haritu from tt.',aku macam nampak bundle dekat puncak alam haritu from tt
2023-01-03 13:53:46,b'prefer yg suka foto di alam bebas\xf0\x9f\xa4\x94 hmmm jihoon gx si',prefer suka foto alam hmm jihoon gx si
2023-01-03 13:53:25,b'@bonz_ade @deobifess deuhhh di semak semak \xf0\x9f\x98\xad\xf0\x9f\x98\xad bangun bobo budug \xf0\x9f\x98\x82\xf0\x9f\xab\x82 \ndahlah sanggg gausah menyatu dgn alam ... kita aja yg menyatu \xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbb',deuhh semak semak bangun bobo budug sangg gausah satu alam aja satu
2023-01-03 13:52:44,b'Anak alam selalu punya daya tarik sendiri \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba tapi apa daya aku anak strict parents \xf0\x9f\x98\xad',anak alam selalu punya daya tarik sendiri apa daya aku anak strict parents
2023-01-03 13:52:37,b'@8NAOIREI panggilan alam sih',panggil alam sih
2023-01-03 13:52:29,b'Gerak cepat Babinsa desa Pakatto Serka Tajuddin turun langsung membantu warga yang menjadi korban Bencana alam angin puting beliung yang mengakibatkan  atap rumah warga porak poranda di terjang angin puting beliung https://t.co/k0vM62mlJY',gerak cepat babinsa desa pakatto serka tajuddin turun langsung bantu warga jadi korban bencana alam angin puting beliung akibat atap rumah warga porak poranda terjang angin puting beliung
2023-01-03 13:51:58,b'Serda Hendra  Babinsa Desa panciro membatu warga binaan yang tertimpa musibah bencana alam angin puting beliung. https://t.co/9aVHkzy0yB',serda hendra babinsa desa panciro batu warga bina timpa musibah bencana alam angin puting beliung
2023-01-03 13:51:56,"b'bm mixue sampe kebawa mimpi njer, parah lu mixue menjajah sampe alam mimpi'",bm mixue sampe bawa mimpi njer parah lu mixue jajah sampe alam mimpi
2023-01-03 13:51:51,b'Indonesia sebagai salahsatu paru-paru dunia khususnya Kalimantan harus selalu dijaga kelestarian alamnya untuk keseimbangan alam.',indonesia salahsatu dunia khusus kalimantan selalu jaga lestari alam imbang alam
2023-01-03 13:51:50,b'Dan menghisap abis energi positifku. So lucky me! law of attraction juga sepertinya alam bawah sadarku mulai memakainya  I got thisss baru aja oh my jessus \xf0\x9f\xa5\xb0 \xf0\x9f\xab\xb6',menghisap abis energi positif lucky law of attraction seperti alam bawah sadar mulai maka i got thiss baru aja my jessus
2023-01-03 13:51:42,"b'RT @Selangorians1: Tumpahan minyak wangi menyebabkan Loji Rawatan Air Semenyih dan Bukit Tampoi ditutup pada 31 Dis, kata exco Alam Sekitar\xe2\x80\xa6'",tumpah minyak wangi sebab loji rawat air sih bukit tampoi tutup dis kata exco alam
2023-01-03 13:51:38,b'@Tummmhappy @deobifess Kalian mau cosplay jadi isilop tidur ya? \nKalo mau boboan sama mas sayang mah atuh di tempat yg nyaman\n\nKlo mau menyatu dengan alam ya di semak2 wkwkwk',kalian mau cosplay jadi isilop tidur mau boboan sama mas sayang mah atuh tempat mau satu alam semak2 wkwkwk
2023-01-03 13:50:22,"b'\xe2\x80\x9cSelain itu element api ini ditujukan atau menggambarkan 3 zodiak yaitu Aries, Leo, Sagittarius. Jadi di alam kita bisa lihat sesuka hati contoh dari element ini yaitu matahari\xe2\x80\x9d'",element api tuju gambar zodiak aries leo sagittarius jadi alam lihat suka hati contoh element
2023-01-03 13:50:07,b'@yudaadn @IniAlalalannn alam semesta nggak merestuimu yud',alam semesta restu yud
2023-01-03 13:49:44,"b'@ddy_evo @CNNIndonesia ooh pantesan di aceh,  padang, jabar kena bencana alam besar, apa mungkin di sana sarangnya lgbt?'",ooh pantesan aceh padang jabar kena bencana alam besar apa mungkin sana sarang lgbt
2023-01-03 13:49:43,b'@bonz_ade @deobifess \xf0\x9f\x98\xad ga ngerti kagi sama sangyeon sipaling ingin bersatu dengan alam \xf0\x9f\x98\xad\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 ke geleng mobil dolak atuhhhh',ga ngerti kagi sama sangyeon sipaling satu alam geleng mobil dolak atuhh
2023-01-03 13:49:08,b'Kesabaran anak baik kesayangan aku yg seluas alam semesta\xf0\x9f\x98\x82\nhttps://t.co/HjFh6R0iWk https://t.co/1LF2lkjGCd',sabar anak baik sayang aku luas alam
2023-01-03 13:48:45,b'Jadi bila tiket mamamoo in shah alam nak jual ya.',jadi bila tiket mamamoo in shah alam nak jual
2023-01-03 13:48:42,b'Pulau Kenawa adalah sebuah pulau tak berpenghuni yang jadi destinasi wisata alam yang menawan di Sumbawa Barat. https://t.co/KKfTlVcE0w',pulau nawa buah pulau hun jadi destinasi wisata alam tawan sumbawa barat
2023-01-03 13:48:41,b'@GanjaranApp @ganjarpranowo @infoBMKG @bmkg_semarang Bencana yg dialami Jateng berupa banjir tidak ada hubungannya sama sekali dg tendensi politik sebab semua terjadi karena faktor alam murni',bencana alami jateng upa banjir hubung sama sekali tendensi politik semua jadi faktor alam murni
2023-01-03 13:46:16,b'xbsbdbhdbd gusto ko umalis dito pero di ko alam san pupunta',xbsbdbhdbd gusto ko umalis dito pero ko alam san pupunta
2023-01-03 13:45:41,"b'@iagurt333 @handayanii99_ Dulu baginya kevin adalah manusia paling imut se alam raya, gatau klo skrg, masih ga? @handayanii99_'",dulu bagi kevin manusia paling imut se alam raya gatau klo skrg ga
2023-01-03 13:45:10,b'@UGM_FESS Pernah tapi dah beda alam. Jadi ya emang bisanya cuma nangis',pernah dah beda alam jadi emang bisa cuma nang
2023-01-03 13:44:05,b'@sopir_idiot Kalo diliat mereka seperti mau nyebrang ke alam lain',kalo liat mau nyebrang alam
2023-01-03 13:44:03,b'RT @kvsbum: 402. alam https://t.co/R3mBG4Kek4',alam
2023-01-03 13:43:56,b'@tvOneNews Jangan main main dengan Alam ...',jangan main main alam
2023-01-03 13:43:20,b'@awwtasyaa Hukum alam tetap berlaku',hukum alam tetap laku
2023-01-03 13:43:14,b'Atheis akhirnya bersyahadat..menyakini dan beriman kpd Allah Tuhan sekalian alam. https://t.co/fV4KMoe850',atheis akhir iman kpd allah tuhan sekali alam
2023-01-03 13:42:45,"b'RT @AMahardiga: LaNyalla mengatakan, kehidupan nelayan sangat terpengaruh kondisi alam. Ada musim dimana mereka tidak bisa mencari ikan dan\xe2\x80\xa6'",lanyalla kata hidup nelayan sangat pengaruh kondisi alam musim cari ikan
2023-01-03 13:42:41,"b'@democrazymedia Indonesia itu negara kaya apa aja ada, laut punya, hutan punya, gunung punya, sumber daya alam melimpah tapi kenapa untuk membangun harus tersandera oleh hutang yg ugal-ugalan...??? \nHarus legowo mengakui bahwa SDM kita masih rendah bukan saja di level rakyat tp juga penguasa.'",indonesia negara kaya apa aja laut punya hutan punya gunung punya sumber daya alam limpah bangun sandera hutang legowo aku sdm rendah bukan level rakyat tp kuasa
2023-01-03 13:42:41,b'RT @dolletbe: @moonareas @urqanus ilyyy satu alam semestaaa \xf0\x9f\x98\xa0',ilyy satu alam semestaa
2023-01-03 13:42:35,b'@QianzyZ Di mata kadrun syuting krn emang beda alam wkwkwkw. Drunnnnn oh drunnn lucu bener kalian',mata kadrun syuting emang beda alam wkwkwkw drunn drunn lucu bener kalian
2023-01-03 13:42:26,"b'\xe2\x80\x9cSelanjutnya api, ada yang tahu api ini menggambarkan objek apa di alam? Ayo tebak saja, tak masalah kalau salah\xe2\x80\x9d https://t.co/xLQoS7OM3o'",api tahu api gambar objek apa alam ayo tebak masalah kalau
2023-01-03 13:42:21,b'@winweers aaa tidakk boleh melawan hukum alam \xf0\x9f\x98\xad',aa tidakk lawan hukum alam
2023-01-03 13:42:11,b'@memefess Lah aku sering minum yakult segelas Alhamdulillah gapernah ada apa2 \xf0\x9f\x98\x85',lah aku sering minum yakult gelas alhamdulillah gapernah apa2
2023-01-03 13:42:01,"b""my lembab ass wouldn't like this. aku ni dah la lembab selembab lembab alam, memang my partner jela yang buat semua aku jadi pengacau hehe https://t.co/ru855J07oU""",lembab ass like this aku ni dah lembab selembab lembab alam memang my partner jela buat semua aku jadi acau hehe
2023-01-03 13:41:54,b'RT @STresnowat1: CARA MUDAH JOKOWI MENGHAMBURKAN UANG NEGARA  DAN MEMBUAT NEGARA PEMBERI UTANG BAHAGIA. \n\nPROYEK MANGKRAK.\n\nhttps://t.co/Ou\xe2\x80\xa6',cara mudah jokowi hambur uang negara buat negara beri utang bahagia
2023-01-03 13:41:41,b'Desa Wisata Saung Ciburial Menjadikan Kesejahteraan Warga Sukalaksana Garut Tak Tertinggal Lagi https://t.co/mvyQOmXyLd',desa wisata saung ciburial jadi sejahtera warga sukalaksana garut tinggal
2023-01-03 13:41:34,b'@eithrawen Ay hangisi alam bi link',ay hangisi alam bi link
2023-01-03 13:41:18,b'@ApriadiYadi11 Jadi God dalam bentuk hukum alam ya bro',jadi god bentuk hukum alam bro
2023-01-03 13:40:59,b'Jangan Islam hanya atas IC sebab IC kita tak akan laku di dalam kubur dan di alam ahkirat nanti.',jangan islam atas ic ic laku kubur alam ahkirat
