datetime,text,cleanTweet
2023-02-27 09:24:37,"b'jelas ya.. siapapun dia apapun agama, yg baik pasti bersama orang baik, berbeda dalam keyakinan bersaudara dalam Kebhinekaan dan Pancasila, yg jahat tetap jadi musuh bersama, yg rasis, tukang fitnah dan adudomba, mereka adalah musuh agama, musuh Negara dan Musuh Pancasila! https://t.co/llRSROlMkK'",jelas siapa apa agama baik sama orang baik beda yakin saudara kebhinekaan pancasila jahat tetap jadi musuh sama ras tukang fitnah adudomba musuh agama musuh negara musuh
2023-02-27 09:23:35,b'AKHIRNYA alhamdulillah transfer nilai gue kelar semua bye bye b indo agama pkn pancasila \xf0\x9f\xa5\xb9\xf0\x9f\xa5\xb9\xf0\x9f\xa5\xb9',akhir alhamdulillah transfer nilai gue kelar semua bye bye b indo agama pkn pancasila
2023-02-27 09:20:04,"b'@ind0mierebus turut prihatin jid, tp lu ngerasa kue itu punya lu atas dasar apa jid? pancasila?'",turut prihatin jid tp lu ngerasa kue punya lu atas dasar apa jid pancasila
2023-02-27 09:19:35,b'mati muda gua ngurusin project pend pancasila',mati muda gua ngurusin project pend pancasila
2023-02-27 09:16:30,b'@Sarinah116 @alisyarief https://t.co/BC7NvxTBjb Negarawan pemilik Pancasila \xf0\x9f\x98\x87',negarawan milik pancasila
2023-02-27 09:11:02,"b'@sadiptair halo dipta, kita mesti deketan lebih deket ni biar jadi besti, dipta terlihat cool, friendly nih keknya, vibesnya seperti ketua pemuda pancasila (becanda) dipta be happy always ya'",halo dipta mesti deketan lebih deket ni biar jadi besti dipta lihat cool friendly nih kek vibesnya ketua pemuda pancasila dipta be happy always
2023-02-27 09:10:53,"b'RT @BKIPMPontianak: Kegiatan ini dalam rangka memelihara dan meningkatkan rasa kebangsaan dan cinta tanah air, pengabdian terhadap negara d\xe2\x80\xa6'",giat rangka pelihara tingkat rasa bangsa cinta tanah air abdi negara
2023-02-27 09:03:45,"b'RT @polresta_sda: Penguatan Profil Pelajar Pancasila, SMPN 1 Sidoarjo Kunjungi Polresta Sidoarjo. \n\nTerimakasih atas kunjungan nya \n\nSumber\xe2\x80\xa6'",kuat profil ajar pancasila smpn sidoarjo kunjung polresta sidoarjo atas kunjung nya
2023-02-27 09:02:49,"b'@jokowi Pancasila telah Hancur di NKRI, Gaji seorang pejabat pajak di beritakan Rp.80 juta/Bulan, bagaimana dengan gaji para Menteri dan Pejabat? Lebih baik mereka kerja di luar negeri daripada bekerja di tanah air bukan untuk mengabdi tapi untuk makan uang Rakyat miskin. #SriMulyaniOMDO https://t.co/KBBTPuFcym'",pancasila hancur nkri gaji orang jabat pajak berita bagaimana gaji menteri jabat lebih baik kerja luar negeri kerja tanah air bukan abdi makan uang rakyat miskin
2023-02-27 09:02:41,"b'@CH4__15R Alfatiha utk alm Jend Besar HM Soeharto bpk pembangunan ori, pembasmi komunis, penjaga pancasila.\xf0\x9f\xa4\xb2'",alfatiha utk alm jend besar hm soeharto bpk bangun ori basmi komunis jaga
2023-02-27 09:00:00,"b'@BosPurwa Ucapan gerombolan cebong selalu berusaha memecah belah dan membuat gaduh, dibilang pki ngga terima, tapi kelakuan kaya pki sering nyerang2 agama menggunakan narasi agama, dan berlindung dibalik nkri harga mati dan pancasila.. dasar cebong jahannam'",ucap gerombol cebong selalu usaha pecah belah buat gaduh bilang pki ngga terima laku kaya pki sering nyerang2 agama guna narasi agama lindung balik nkri harga mati pancasila dasar cebong jahannam
